CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0069,0.979454959557427
C0001,C0091,0.9642200859036124
C0001,C0181,0.8992721755431989
C0002,C0159,0.956175625695053
C0002,C0036,0.9306931974215171
C0002,C0129,0.8850716127598941
C0003,C0007,0.9716942768861005
C0003,C0166,0.9532145909456898
C0003,C0085,0.9249826779904693
C0004,C0075,0.9809085265987747
C0004,C0090,0.9387392358590677
C0004,C0065,0.9262010838352783
C0005,C0197,0.9817011715903354
C0005,C0085,0.966843790367
C0005,C0007,0.9486945029697087
C0006,C0200,0.8474845246319106
C0006,C0185,0.8398239332054643
C0006,C0169,0.8199802177870191
C0007,C0085,0.9824230037367925
C0007,C0003,0.9716942768861005
C0007,C0005,0.9486945029697087
C0008,C0109,0.9279776786344583
C0008,C0024,0.8375352176423817
C0008,C0173,0.8128169916035377
C0009,C0032,0.990757862861617
C0009,C0083,0.9798033869624233
C0009,C0077,0.9692019591273204
C0010,C0029,0.9983047408256195
C0010,C0062,0.968736495042671
C0010,C0111,0.9551658790563905
C0011,C0016,0.9620200612252672
C0011,C0117,0.8944012063917262
C0011,C0153,0.8337120777649314
C0012,C0148,0.9567748596435947
C0012,C0100,0.9275594559724779
C0012,C0163,0.9075726605285851
C0013,C0046,0.9805270676440564
C0013,C0099,0.9593212842567757
C0013,C0188,0.89103347956242
C0014,C0151,0.999236339828202
C0014,C0097,0.9972974723105231
C0014,C0060,0.9954988079884014
C0015,C0128,0.9804763544371801
C0015,C0071,0.9760430206591793
C0015,C0014,0.9752496437135347
C0016,C0011,0.9620200612252672
C0016,C0117,0.8668759613178074
C0016,C0153,0.8431784553319138
C0017,C0122,0.9005113881470188
C0017,C0065,0.8998650505690043
C0017,C0179,0.8859870462440411
C0018,C0023,0.9738527269710368
C0018,C0168,0.9673841198725769
C0018,C0051,0.9220306808601271
C0019,C0191,0.8027674520235095
C0019,C0035,0.7450255673994398
C0019,C0177,0.7239176388833345
C0020,C0130,0.9919025567893183
C0020,C0180,0.9538531110483801
C0020,C0060,0.9425821093436012
